date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:34:15	51273/51273	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:02%20GMT	https://www.rxmediciner.com/	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/index.html	(from )
03:34:16	157/157	---M--	200	added ('OK')	text/plain	date:Mon,%2017%20Jan%202022%2009:08:54%20GMT	https://www.rxmediciner.com/robots.txt		(from )
03:34:17	563/563	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:48:06%20GMT	https://www.rxmediciner.com/images/favicon.png	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/images/favicon.png	(from https://www.rxmediciner.com/)
03:34:18	95930/95930	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Oct%202018%2002:38:00%20GMT	https://www.rxmediciner.com/js/jquery-1.11.2.min.js?v=2079901888	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/js/jquery-1.11.2.min6c50.js	(from https://www.rxmediciner.com/)
03:34:19	8611/8611	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20May%202019%2004:38:26%20GMT	https://www.rxmediciner.com/js/typeahead.js	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/js/typeahead.js	(from https://www.rxmediciner.com/)
03:34:21	23688/23688	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202019%2000:30:02%20GMT	https://www.rxmediciner.com/css/font-awesome.min.css?v=403730529	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/css/font-awesome.minc533.css	(from https://www.rxmediciner.com/)
03:34:21	6152/6152	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20May%202019%2004:57:40%20GMT	https://www.rxmediciner.com/css/owl.carousel.css?v=508888584	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/css/owl.carousel2c4d.css	(from https://www.rxmediciner.com/)
03:34:21	117302/117302	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202019%2005:18:56%20GMT	https://www.rxmediciner.com/css/bootstrap.min.css?v=1105572977	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/css/bootstrap.min7fbb.css	(from https://www.rxmediciner.com/)
03:34:22	2353/2353	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Nov%202016%2009:24:52%20GMT	https://www.rxmediciner.com/css/slicknav.min.css?v=1150241310	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/css/slicknav.minbd41.css	(from https://www.rxmediciner.com/)
03:34:23	71642/71642	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Feb%202021%2007:47:45%20GMT	https://www.rxmediciner.com/css/style.css?v=2101956425	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/css/stylea710.css	(from https://www.rxmediciner.com/)
03:34:23	10108/10108	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202019%2000:32:58%20GMT	https://www.rxmediciner.com/css/responsive.css?v=1439575118	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/css/responsivef957.css	(from https://www.rxmediciner.com/)
03:34:23	6982/6982	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202020%2008:11:04%20GMT	https://www.rxmediciner.com/css/toastr.css	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/css/toastr.css	(from https://www.rxmediciner.com/)
03:34:25	22458/22458	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2010:34:13%20GMT	https://www.rxmediciner.com/world-contries.jpg	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/world-contries.jpg	(from https://www.rxmediciner.com/)
03:34:26	9137/9137	---M--	200	added ('OK')	image/png	date:Mon,%2018%20May%202020%2012:54:12%20GMT	https://www.rxmediciner.com/images/logo.png	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/images/logo.png	(from https://www.rxmediciner.com/)
03:34:27	291/291	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:48:26%20GMT	https://www.rxmediciner.com/images/date_icon.png	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/images/date_icon.png	(from https://www.rxmediciner.com/)
03:34:28	25316/25316	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:16%20GMT	https://www.rxmediciner.com/contact.php	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/contact.html	(from https://www.rxmediciner.com/)
03:34:29	26895/26895	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:17%20GMT	https://www.rxmediciner.com/about.php	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/about.html	(from https://www.rxmediciner.com/)
03:34:30	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2010:34:18%20GMT	https://www.rxmediciner.com/category/antibiotika	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/antibiotika	(from https://www.rxmediciner.com/)
03:34:30	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2010:34:19%20GMT	https://www.rxmediciner.com/category/blodtryck-och-diabetiker	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/blodtryck-och-diabetiker	(from https://www.rxmediciner.com/)
03:34:31	49018/49018	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:19%20GMT	https://www.rxmediciner.com/category/antibiotika/	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/antibiotika/index.html	(from https://www.rxmediciner.com/)
03:34:32	32236/32236	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:20%20GMT	https://www.rxmediciner.com/category/blodtryck-och-diabetiker/	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/blodtryck-och-diabetiker/index.html	(from https://www.rxmediciner.com/)
03:34:33	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2010:34:21%20GMT	https://www.rxmediciner.com/category/smn-och-smnlshet	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/smn-och-smnlshet.11.delayed	(from https://www.rxmediciner.com/)
03:34:34	30951/30951	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:22%20GMT	https://www.rxmediciner.com/category/smn-och-smnlshet/	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/smn-och-smnlshet/index.html	(from https://www.rxmediciner.com/)
03:34:34	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2010:34:22%20GMT	https://www.rxmediciner.com/category/anabola-steroider	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/anabola-steroider	(from https://www.rxmediciner.com/)
03:34:35	41998/41998	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:23%20GMT	https://www.rxmediciner.com/category/anabola-steroider/	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/anabola-steroider/index.html	(from https://www.rxmediciner.com/)
03:34:35	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2010:34:23%20GMT	https://www.rxmediciner.com/category/stimulantia	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/stimulantia	(from https://www.rxmediciner.com/)
03:34:36	34943/34943	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:25%20GMT	https://www.rxmediciner.com/category/stimulantia/	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/stimulantia/index.html	(from https://www.rxmediciner.com/)
03:34:37	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2010:34:24%20GMT	https://www.rxmediciner.com/category/opioider	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/opioider	(from https://www.rxmediciner.com/)
03:34:38	53528/53528	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:26%20GMT	https://www.rxmediciner.com/category/opioider/	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/opioider/index.html	(from https://www.rxmediciner.com/)
03:34:38	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2010:34:26%20GMT	https://www.rxmediciner.com/category/depression-och-ngest	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/depression-och-ngest	(from https://www.rxmediciner.com/)
03:34:39	36142/36142	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:28%20GMT	https://www.rxmediciner.com/category/depression-och-ngest/	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/category/depression-och-ngest/index.html	(from https://www.rxmediciner.com/)
03:34:40	84937/84937	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:28%20GMT	https://www.rxmediciner.com/products.php	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/products.html	(from https://www.rxmediciner.com/)
03:34:41	26320/26320	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2010:34:28%20GMT	https://www.rxmediciner.com/blog.php	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/blog.html	(from https://www.rxmediciner.com/)
03:34:42	68134/68134	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202019%2008:38:38%20GMT	https://www.rxmediciner.com/images/sliders/5cdaa519c062cb1.jpg	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/images/sliders/5cdaa519c062cb1.jpg	(from https://www.rxmediciner.com/)
03:34:42	54502/54502	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202019%2008:38:44%20GMT	https://www.rxmediciner.com/images/sliders/5cdaa520cd7b2b2.jpg	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/images/sliders/5cdaa520cd7b2b2.jpg	(from https://www.rxmediciner.com/)
03:34:44	73227/73227	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202019%2008:38:46%20GMT	https://www.rxmediciner.com/images/sliders/5cdaa52db1ad3b4.jpg	C:/Users/belmond/Desktop/Medicinskapotek/www.rxmediciner.com/images/sliders/5cdaa52db1ad3b4.jpg	(from https://www.rxmediciner.com/)
